""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"IKZF1"	-1.24649490284274	0.261913039906557	-4.91993384161189	8.92029137633904e-06	0.000131255715966132	3.20611634514542	"c5 vs. c2"	-0.0498348671452314	1.19666003569751
"EBF1"	-1.29877034733686	0.42460185076876	-4.74860336005888	1.61807411573659e-05	0.000208327042401086	2.6323046276752	"c5 vs. c2"	0.0208324578293468	1.3196028051662
"FOXM1"	-1.40699599703769	0.438459443896958	-4.43377556423696	4.74299443290307e-05	0.000542809362876685	1.59937402327498	"c5 vs. c2"	0.0432973284587988	1.45029332549649
"SPI1"	-1.0744527194644	0.358863924310348	-4.3671466181033	5.93459350942559e-05	0.000611263131470836	1.38472603484179	"c5 vs. c2"	0.0671808610002388	1.14163358046464
"BCL11A"	-0.889120464062432	0.316180393905458	-4.04633066275718	0.00017128823785084	0.00147022404155304	0.373105853500522	"c5 vs. c2"	0.0353614839758187	0.92448194803825
"POU2F2"	-0.781089553314933	0.322634289750661	-3.65875254583015	0.000587430936974171	0.00465426050064151	-0.794120828267777	"c5 vs. c2"	0.207279760397746	0.988369313712678
"STAT5A"	-0.755003401157999	0.589696363590567	-3.44122034944181	0.00114256674778795	0.00840602678729705	-1.41902321255097	"c5 vs. c2"	0.14331026377657	0.89831366493457
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"STAT5A"	-1.31517089563317	0.589696363590567	-5.99440061078529	1.89414072020877e-07	1.53699153920406e-05	6.96410819593585	"c5 vs. c3"	0.14331026377657	1.45848115940974
"NR2F2"	-1.16504806535525	0.403083554601956	-5.78690576213954	4.03351525567516e-07	1.53699153920406e-05	6.23068072008586	"c5 vs. c3"	0.155935355609607	1.32098342096486
"PML"	-1.22468970857487	0.600280969563611	-5.7581961883534	4.47667438603123e-07	1.53699153920406e-05	6.12959996920522	"c5 vs. c3"	0.25149551842593	1.4761852270008
"GATA2"	-1.41394697221419	0.513073811350122	-5.57824849091359	8.5855095571573e-07	2.210768710968e-05	5.49856042577735	"c5 vs. c3"	0.260803875399958	1.67475084761414
"TAL1"	-1.16494916397736	0.483697172956424	-4.10155964005846	0.000143060693319401	0.00249010024304727	0.580473570550899	"c5 vs. c3"	0.318619790890624	1.48356895486799
"GATA1"	-1.63729889700495	0.611172004902522	-4.09732636746688	0.000145054383090132	0.00249010024304727	0.56731360237398	"c5 vs. c3"	0.377447428968086	2.01474632597304
"SMARCA4"	-0.989519026012493	0.329399740278937	-3.88354044450393	0.000289420579928637	0.00425861710466423	-0.0880096814050138	"c5 vs. c3"	0.169801845397906	1.1593208714104
"CCNT2"	-0.848245311332778	0.427354565005202	-3.49641103599428	0.000966983058368885	0.0124499068764994	-1.22392187611464	"c5 vs. c3"	0.361631893864248	1.20987720519703
""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"i.vs.j"	"i.av"	"j.av"
"MBD4"	-0.876252863303269	0.296723055136489	-4.79125184299833	1.39602748035366e-05	0.00143790830476427	2.94207993847561	"c5 vs. c4"	0.144941891865828	1.0211947551691
